GID,KEGG,KEGG_DESCRIPTION
106899528,K02308,DAXX; death-associated protein 6
106899529,K08058,TAPBP; TAP binding protein (tapasin)
106899530,,
106899532,,
106899533,,
106899534,K04456,AKT; RAC serine/threonine-protein kinase [EC:2.7.11.1]
106899531,K14787,"MRD1, RBM19; multiple RNA-binding domain-containing protein 1"
106899535,K12323,"ANPRA, NPR1; atrial natriuretic peptide receptor A [EC:4.6.1.2]"
106899536,K04501,SMAD4; mothers against decapentaplegic homolog 4
106899537,,
106899538,,
106899539,,
106899540,,
106899542,,
106899543,,
106899544,,
106899541,K01431,"UPB1, pydC; beta-ureidopropionase [EC:3.5.1.6]"
106899545,,
106899546,,
106899547,,
106899548,,
106899549,,
106899550,,
106899551,K23761,S100A4; protein S100-A4
106899553,K23761,S100A4; protein S100-A4
106899555,K21128,S100A9; protein S100-A9
106899552,,
106899556,,
106899557,K23768,"S100A16, S100F; protein S100-A16"
106899558,,
106899559,,
106899560,,
106899561,,
106899562,,
106899563,K23767,S100A14; protein S100-A14
106899564,,
106899566,,
106899567,,
106899570,,
106899571,,
106899568,K02266,COX6A; cytochrome c oxidase subunit 6a
106899572,,
106899573,,
106899574,,
106899575,,
106899576,,
106899577,,
106899578,,
106899580,,
106899579,,
106899581,,
106899582,,
106899583,,
106899584,,
106899585,,
106899586,,
106899587,K21128,S100A9; protein S100-A9
106899589,,
106899590,,
106899591,,
106899588,K24228,"WDR66, CFAP251; cilia- and flagella-associated protein 251"
106899592,,
106899593,,
106899594,K23758,S100A1; protein S100-A1
106899595,K23765,"S100A11_13, S100C; protein S100-A11/13"
106899597,,
106899598,,
106899599,,
106899596,K23791,PHETA; sesquipedalian
106899600,,
106899601,,
106899602,K13089,ILF2; interleukin enhancer-binding factor 2
106899603,K20002,"SNAPIN, BLOC1S7; SNARE-associated protein Snapin"
106899604,,
106899605,K18189,TACO1; translational activator of cytochrome c oxidase 1
106899607,K11308,"MYST1, MOF, KAT8; histone acetyltransferase MYST1 [EC:2.3.1.48]"
106899608,,
106899609,K09228,KRAB; KRAB domain-containing zinc finger protein
106899610,K06250,"SPP1, BNSP, OPN; secreted phosphoprotein 1"
106899611,K06253,IBSP; integrin binding sialoprotein
106899613,K05681,"ABCG2, CD338; ATP-binding cassette, subfamily G (WHITE), member 2"
106899614,K23328,DMP1; dentin matrix acidic phosphoprotein 1
106899615,,
106899612,K08148,"SLC2A11, GLUT11; MFS transporter, SP family, solute carrier family 2 (facilitated glucose transporter), member 11"
106899616,K04986,PKD2; polycystin 2
106899617,K03456,PPP2R1; serine/threonine-protein phosphatase 2A regulatory subunit A
106899619,K06771,"MAG, GMA, SIGLEC4; myelin associated glycoprotein"
106899621,,
106899624,K04437,FLNA; filamin
106899625,K01889,"FARSA, pheS; phenylalanyl-tRNA synthetase alpha chain [EC:6.1.1.20]"
106899626,K08057,CALR; calreticulin
106899623,K08148,"SLC2A11, GLUT11; MFS transporter, SP family, solute carrier family 2 (facilitated glucose transporter), member 11"
106899627,,
106899628,K19535,SYCE2; synaptonemal complex central element protein 2
106899629,K00252,"GCDH, gcdH; glutaryl-CoA dehydrogenase [EC:1.3.8.6]"
106899630,K00252,"GCDH, gcdH; glutaryl-CoA dehydrogenase [EC:1.3.8.6]"
106899631,K19535,SYCE2; synaptonemal complex central element protein 2
106899633,K20242,EVI5; ecotropic viral integration site 5 protein
106899635,K07818,PRF1; perforin 1
106899636,K00645,"fabD, MCAT, MCT1; [acyl-carrier-protein] S-malonyltransferase [EC:2.3.1.39]"
106899637,K05770,"TSPO, BZRP; translocator protein"
106899640,K16609,TTLL12; tubulin--tyrosine ligase-like protein 12
106899641,K20123,PACSIN; protein kinase C and casein kinase substrate in neurons protein
106899639,K02156,"AUB, PIWI; aubergine"
106899642,K16599,TTLL1; tubulin polyglutamylase TTLL1 [EC:6.3.2.61]
106899643,K01279,"TPP1, CLN2; tripeptidyl-peptidase I [EC:3.4.14.9]"
106899644,K01279,"TPP1, CLN2; tripeptidyl-peptidase I [EC:3.4.14.9]"
106899645,K03134,TAF10; transcription initiation factor TFIID subunit 10
106899646,K06272,ILK; integrin-linked kinase [EC:2.7.11.1]
106899647,K10260,"FBXW7, SEL10; F-box and WD-40 domain protein 7"
106899648,K20314,ARFIP; arfaptin
106899649,K16507,"DCHS1_2, PCDH16_23; protocadherin-16/23"
106899650,K15451,"PPM2, LCMT2, TYW4; tRNA wybutosine-synthesizing protein 4 [EC:2.1.1.290 2.3.1.231]"
106899652,K10771,APEX1; AP endonuclease 1 [EC:4.2.99.18]
106899653,,
106899654,,
106899655,,
106899656,,
106899657,,
106899658,,
106899660,,
106899661,,
106899659,K17973,"NAA25, MDM20; N-terminal acetyltransferase B complex non-catalytic subunit"
106899663,K07863,"RHOG; Ras homolog gene family, member G"
106899664,K17280,CHRDL2; chordin-like protein 2
106899665,K05212,"GRIN2D; glutamate receptor ionotropic, NMDA 2D"
106899666,,
106899667,K04257,OLFR; olfactory receptor
106899668,K04257,OLFR; olfactory receptor
106899670,K04257,OLFR; olfactory receptor
106899669,K17989,"SDS, SDH, CHA1; L-serine/L-threonine ammonia-lyase [EC:4.3.1.17 4.3.1.19]"
106899678,K12867,"SYF1, XAB2; pre-mRNA-splicing factor SYF1"
106899679,K10258,"TER, TSC13, CER10; very-long-chain enoyl-CoA reductase [EC:1.3.1.93]"
106899681,K20056,"GIPC, SEMCAP; PDZ domain-containing protein GIPC"
106899682,K20280,"TRAPPC5, TRS31; trafficking protein particle complex subunit 5"
106899683,K09507,DNAJB1; DnaJ homolog subfamily B member 1
106899680,,
106899684,K07529,"DPYSL5, CRAM; dihydropyrimidinase-like 5"
106899685,K17398,DNMT3A; DNA (cytosine-5)-methyltransferase 3A [EC:2.1.1.37]
106899686,K11471,ASXL; additional sex combs-like protein
106899687,,
106899688,K20197,KIF3C; kinesin family member 3C
106899690,K13755,"PDE1; calcium/calmodulin-dependent 3',5'-cyclic nucleotide phosphodiesterase [EC:3.1.4.17]"
106899691,K12397,AP3B; AP-3 complex subunit beta
106899692,K08055,B2M; beta-2-microglobulin
106899694,,
106899695,K25091,RBPMS; RNA-binding protein with multiple splicing
106899696,K13411,"DUOX, THOX; dual oxidase [EC:1.6.3.1 1.11.1.-]"
106899693,K06544,"SELPLG, CD162; selectin P ligand"
106899697,K17233,DUOXA1; dual oxidase maturation factor 1
106899698,K08868,ALPK; alpha-kinase
106899700,K04257,OLFR; olfactory receptor
106899701,K04257,OLFR; olfactory receptor
106899702,K17941,SNX22_24; sorting nexin-22/24
106899703,K03768,"PPIB, ppiB; peptidyl-prolyl cis-trans isomerase B (cyclophilin B) [EC:5.2.1.8]"
106899705,K05223,NMB; neuromedin B
106899706,K24823,PATL2; protein PAT1 homolog 2
106899707,K17232,DUOXA2; dual oxidase maturation factor 2
106899704,K08148,"SLC2A11, GLUT11; MFS transporter, SP family, solute carrier family 2 (facilitated glucose transporter), member 11"
106899708,K25750,TERB2; telomere repeats-binding bouquet formation protein 2
106899709,K19325,ZNF592; zinc finger protein 592
106899710,K13280,"SEC11, sipW; signal peptidase I [EC:3.4.21.89]"
106899711,K23398,TRIP4; activating signal cointegrator 1
106899712,,
106899715,K11536,SLC28A; pyrimidine nucleoside transport protein
106899716,K08958,"CSNK1G; casein kinase 1, gamma [EC:2.7.11.1]"
106899717,K23697,SHB_D_E_F; SH2 domain-containing adapter protein B/D/E/F
106899718,K07369,MALT1; mucosa-associated lymphoid tissue lymphoma translocation protein 1 [EC:3.4.22.-]
106899719,K00008,"SORD, gutB; L-iditol 2-dehydrogenase [EC:1.1.1.14]"
106899721,K16613,OAZ2; ornithine decarboxylase antizyme 2
106899722,K17917,SNX1_2; sorting nexin-1/2
106899720,K10995,RAD9B; cell cycle checkpoint control protein RAD9B
106899723,K02962,"RP-S17e, RPS17; small subunit ribosomal protein S17e"
106899724,K02602,"CPEB, ORB; cytoplasmic polyadenylation element-binding protein"
106899725,K02210,"MCM7, CDC47; DNA replication licensing factor MCM7 [EC:5.6.2.3]"
106899726,K13055,STAG3; cohesin complex subunit SA-3
106899727,K09677,GAL3ST4; galactose-3-O-sulfotransferase 4 [EC:2.8.2.-]
106899728,K24261,MAP11; microtubule-associated protein 11
106899729,K16145,"MUC16, CA125; mucin-16"
106899730,K10356,MYO1; myosin I
106899731,K07360,ZAP70; tyrosine-protein kinase ZAP-70 [EC:2.7.10.2]
106899732,K01441,"ACER1_2, ASAH3; alkaline ceramidase [EC:3.5.1.23]"
106899733,K18733,LARP6; la-related protein 6
106899735,K18733,LARP6; la-related protein 6
106899736,,
106899737,K15187,"MLLT1_3, ENL, AF9; YEATS domain-containing protein 1/3"
106899738,K18647,ANP32B; acidic leucine-rich nuclear phosphoprotein 32 family member B
106899739,,
106899713,,
106899741,K15013,ACSBG; long-chain-fatty-acid--CoA ligase ACSBG [EC:6.2.1.3]
106899742,K09173,RFX1_2_3; regulatory factor X 1/2/3
106899740,K01047,"PLA2G, SPLA2; secretory phospholipase A2 [EC:3.1.1.4]"
106899743,K08625,ADAMTS10; a disintegrin and metalloproteinase with thrombospondin motifs 10 [EC:3.4.24.-]
106899744,,
106899745,,
106899746,K06752,MHC2; MHC class II antigen
106899747,K00909,GRK1_7; rhodopsin kinase [EC:2.7.11.14]
106899748,K10080,"LMAN1, ERGIC53; lectin, mannose-binding 1"
106899750,K05224,GRP; gastrin-releasing peptide
106899751,K09332,"RAX, RX; retina and anterior neural fold homeobox protein"
106899749,K08148,"SLC2A11, GLUT11; MFS transporter, SP family, solute carrier family 2 (facilitated glucose transporter), member 11"
106899754,K07369,MALT1; mucosa-associated lymphoid tissue lymphoma translocation protein 1 [EC:3.4.22.-]
106899756,K08868,ALPK; alpha-kinase
106899758,K15295,CPLX3_4; complexin-3/4
106899759,,
106899760,K07253,MIF; phenylpyruvate tautomerase [EC:5.3.2.1]
106899761,K13280,"SEC11, sipW; signal peptidase I [EC:3.4.21.89]"
106899762,,
106899763,K18283,"PDE2A; cGMP-dependent 3',5'-cyclic phosphodiesterase [EC:3.1.4.17]"
106899764,K12831,"SF3B4, SAP49; splicing factor 3B subunit 4"
106899765,K06258,"SV2; MFS transporter, VNT family, synaptic vesicle glycoprotein 2"
106899767,K06712,"BTN, CD277; butyrophilin"
106899768,K06712,"BTN, CD277; butyrophilin"
106899769,K06712,"BTN, CD277; butyrophilin"
106899770,K06712,"BTN, CD277; butyrophilin"
106899771,K06712,"BTN, CD277; butyrophilin"
106899774,K06712,"BTN, CD277; butyrophilin"
106899777,K04228,AVPR2; arginine vasopressin receptor 2
106899779,,
106899780,,
106899781,,
106899782,,
106899783,K08752,"FABP3; fatty acid-binding protein 3, muscle and heart"
106899784,K12857,"SNRNP40, PRP8BP; Prp8 binding protein"
106899785,K22735,NKAIN; sodium/potassium-transporting ATPase subunit beta-1-interacting protein
106899786,,
106899787,,
106899788,K24740,WDR17; WD repeat-containing protein 17
106899789,K10327,ASB5; ankyrin repeat and SOCS box protein 5
106899791,K12948,"SPCS3, SPC3; signal peptidase complex subunit 3 [EC:3.4.-.-]"
106899792,K16505,"CDHR5, MUCDHL; cadherin-related family member 5"
106899793,K15172,"SUPT5H, SPT5; transcription elongation factor SPT5"
106899794,K11259,"ILVBL, HACL2; 2-hydroxyacyl-CoA lyase [EC:4.1.2.-]"
106899795,K06448,CD1; T-cell surface glycoprotein CD1
106899797,K06448,CD1; T-cell surface glycoprotein CD1
106899798,K06448,CD1; T-cell surface glycoprotein CD1
106899799,K01596,"E4.1.1.32, pckA, PCK; phosphoenolpyruvate carboxykinase (GTP) [EC:4.1.1.32]"
106899800,,
106899802,,
106899803,K10695,RNF1_2; E3 ubiquitin-protein ligase RNF1/2 [EC:2.3.2.27]
106899804,K02964,"RP-S18e, RPS18; small subunit ribosomal protein S18e"
106899801,K18419,DCGR8; microprocessor complex subunit DGCR8
106899805,K20298,VPS52; vacuolar protein sorting-associated protein 52
106899806,,
106899807,K05849,"SLC8A, NCX; solute carrier family 8 (sodium/calcium exchanger)"
106899808,K23857,PLEKHB; pleckstrin homology domain-containing family B
106899811,K06255,HSPG2; basement membrane-specific heparan sulfate proteoglycan core protein
106899813,K03504,POLD3; DNA polymerase delta subunit 3
106899814,K11809,"PGM2L1; glucose-1,6-bisphosphate synthase [EC:2.7.1.106]"
106899812,K15332,TRMT2A; tRNA (uracil-5-)-methyltransferase [EC:2.1.1.-]
106899815,K04897,KCNE3; potassium voltage-gated channel Isk-related subfamily E member 3
106899816,,
106899818,K18703,SUGCT; succinate---hydroxymethylglutarate CoA-transferase [EC:2.8.3.13]
106899819,K12813,DHX16; pre-mRNA-splicing factor ATP-dependent RNA helicase DHX16 [EC:3.6.4.13]
106899820,K20636,ARHGAP12_27; Rho GTPase-activating protein 12/27
106899821,K25639,"SUPT16H, SPT16; FACT complex subunit SPT16"
106899822,,
106899823,K16495,PCDHGA; protocadherin gamma subfamily A
106899824,K16496,PCDHGB; protocadherin gamma subfamily B
106899825,K20362,YIF1; protein transport protein YIF1
106899827,K04917,"KCNK6, K2P6.1; potassium channel subfamily K member 6"
106899828,K05003,"KCNJ10, KIR4.1; potassium inwardly-rectifying channel subfamily J member 10"
106899829,K23468,CASQ1; calsequestrin 1
106899830,K01539,ATP1A; sodium/potassium-transporting ATPase subunit alpha [EC:7.2.2.13]
106899831,K09106,USF; upstream stimulatory factor
106899832,K20645,ARHGAP30; Rho GTPase-activating protein 30
106899834,K06593,PVRL4; poliovirus receptor-related 4
106899835,K04257,OLFR; olfactory receptor
106899836,K10592,"HUWE1, MULE, ARF-BP1; E3 ubiquitin-protein ligase HUWE1 [EC:2.3.2.26]"
106899833,K11428,SETD8; [histone H4]-lysine20 N-methyltransferase SETD8 [EC:2.1.1.361]
106899838,,
106899840,K06712,"BTN, CD277; butyrophilin"
106899841,K06712,"BTN, CD277; butyrophilin"
106899843,K15605,KLF3; krueppel-like factor 3
106899844,K15605,KLF3; krueppel-like factor 3
106899845,K10169,"TLR6, CD286; toll-like receptor 6"
106899846,K10423,CLIP3_4; CAP-Gly domain-containing linker protein 3/4
106899847,K14960,"CXXC1, SPP1, CPS40; COMPASS component SPP1"
106899848,K14790,NOP9; nucleolar protein 9
106899849,K17656,MSS51; mitochondrial splicing suppressor protein 51
106899850,,
106899851,K24932,"CFAP70, TTC18; cilia- and flagella-associated protein 70"
106899852,K11860,OTUD7A_B; OTU domain-containing protein 7 [EC:3.4.19.12]
106899854,K18648,ANP32E; acidic leucine-rich nuclear phosphoprotein 32 family member E
106899856,K12479,VPS45; vacuolar protein sorting-associated protein 45
106899855,K20173,RILPL1; RILP-like protein 1
106899857,K24022,PLEKHO; pleckstrin homology domain-containing family O
106899858,,
106899859,K06712,"BTN, CD277; butyrophilin"
106899860,K06712,"BTN, CD277; butyrophilin"
106899861,,
106899862,K16302,CNNM; metal transporter CNNM
106899863,K10083,"LMAN2L, VIPL; lectin, mannose-binding 2-like"
106899864,K06521,"SEMA4, CD100; semaphorin 4"
106899865,,
106899866,,
106899867,K18341,TBC1D1; TBC1 domain family member 1
106899868,K14753,RACK1; guanine nucleotide-binding protein subunit beta-2-like 1 protein
106899869,,
106899870,,
106899871,,
106899872,,
106899873,K16362,FLRT; leucine-rich repeat transmembrane protein FLRT
106899874,K09602,OTUB1; ubiquitin thioesterase protein OTUB1 [EC:3.4.19.12]
106899875,K09389,E2F2; transcription factor E2F2
106899876,,
106899877,K09561,"STUB1, CHIP; STIP1 homology and U-box containing protein 1 [EC:2.3.2.27]"
106899878,K20408,"WDR24, SEA2; SEA/GATOR complex protein SEA2/WDR24"
106899879,K02857,RHBDL1_2_3; rhomboid-related protein 1/2/3 [EC:3.4.21.105]
106899880,K24759,WDR90; WD repeat-containing protein 90
106899882,K07871,"RHOT2, ARHT2; mitochondrial Rho GTPase 2 [EC:3.6.5.-]"
106899883,K24739,WDR13; WD repeat-containing protein 13
106899881,K13155,SNRNP35; U11/U12 small nuclear ribonucleoprotein 35 kDa protein
106899884,K13511,TAZ; monolysocardiolipin acyltransferase [EC:2.3.1.-]
106899885,K18966,"GADL1, CSAD; sulfinoalanine decarboxylase / aspartate 1-decarboxylase [EC:4.1.1.29 4.1.1.11]"
106899886,,
106899887,,
106899888,,
106899889,,
106899890,K11587,"CBX5, HP1A; chromobox protein 5"
106899891,K12741,HNRNPA1_3; heterogeneous nuclear ribonucleoprotein A1/A3
106899892,K01542,ATP4A; H+/K+-exchanging ATPase subunit alpha [EC:7.2.2.19]
106899894,,
106899895,K04328,"FFAR2, GPR43; free fatty acid receptor 2"
106899896,K13293,PDE4; cAMP-specific phosphodiesterase 4 [EC:3.1.4.53]
106899898,K25206,TMEM127; transmembrane protein 127
106899899,,
106899900,K05730,VAV; guanine nucleotide exchange factor VAV
106899901,,
106899905,,
106899903,K25403,RILPL2; RILP-like protein 2
106899907,,
106899908,K05734,PAK4; p21-activated kinase 4 [EC:2.7.11.1]
106899909,K16354,"LRFN1, SALM2; leucine-rich repeat and fibronectin type-III domain-containing protein 1"
106899910,K02950,"RP-S12, MRPS12, rpsL; small subunit ribosomal protein S12"
106899911,K19935,SYCN; syncollin
106899912,K02939,"RP-L9, MRPL9, rplI; large subunit ribosomal protein L9"
106899913,K08534,"NR1F3, RORC; RAR-related orphan receptor gamma"
106899915,K16339,"THEM4, CTMP; acyl-coenzyme A thioesterase THEM4 [EC:3.1.2.2]"
106899916,K18406,"TDRKH, TDRD2; tudor domain-containing protein 2"
106899918,K17274,S100A10; protein S100-A10
106899919,K00940,"ndk, NME; nucleoside-diphosphate kinase [EC:2.7.4.6]"
106899920,K04257,OLFR; olfactory receptor
106899914,K05853,ATP2A; P-type Ca2+ transporter type 2A [EC:7.2.2.10]
106899921,K20478,GOLGB1; golgin subfamily B member 1
106899922,K07931,RABL2; Rab-like protein 2
106899923,K06106,"CTTN, EMS1; cortactin"
106899924,K08328,GUCA1; guanylate cyclase activator 1
106899925,K06633,PKMYT; membrane-associated tyrosine- and threonine-specific cdc2-inhibitory kinase [EC:2.7.11.1]
106899928,K04257,OLFR; olfactory receptor
106899929,,
106899930,K01623,"ALDO; fructose-bisphosphate aldolase, class I [EC:4.1.2.13]"
106899931,K15423,PPP4C; serine/threonine-protein phosphatase 4 catalytic subunit [EC:3.1.3.16]
106899932,,
106899933,,
106899935,K12733,PPIL1; peptidyl-prolyl cis-trans isomerase-like 1 [EC:5.2.1.8]
106899936,K04251,"OPN1LW, OPN1MW; long/medium wavelength-sensitive opsin"
106899937,K22655,IGSF9; immunoglobulin superfamily member 9
106899934,K05744,LIMK2; LIM domain kinase 2 [EC:2.7.11.1]
106899938,K11804,DCAF8; DDB1- and CUL4-associated factor 8
106899939,K06727,"FCRL, IRTA, CD307; Fc receptor-like protein"
106899940,K07968,"B4GALT3; beta-1,4-galactosyltransferase 3 [EC:2.4.1.90 2.4.1.38 2.4.1.-]"
106899941,K00231,"PPOX, hemY; protoporphyrinogen/coproporphyrinogen III oxidase [EC:1.3.3.4 1.3.3.15]"
106899942,K12165,UFC1; ufm1-conjugating enzyme 1
106899943,K11518,TOM40; mitochondrial import receptor subunit TOM40
106899944,K08541,"NR1I3, CAR; constitutive androstane receptor"
106899945,K20526,TAGLN; transgelin
106899946,,
106899947,K21634,USP21; ubiquitin carboxyl-terminal hydrolase 21 [EC:3.4.19.12]
106899948,K25551,CFAP45; cilia- and flagella-associated protein 45
106899949,K13337,PEX19; peroxin-19
106899950,,
106899952,K14165,K14165; atypical dual specificity phosphatase [EC:3.1.3.16 3.1.3.48]
106899953,K08758,APOA2; apolipoprotein A-II
106899954,,
106899951,K08036,"TCF1, HNF1A; transcription factor 1, hepatocyte nuclear factor 1-alpha"
106899955,K25396,CFAP126; protein Flattop
106899956,K06780,"CADM3, IGSF4B, NECL1, TSLL1; cell adhesion molecule 3"
106899957,K23267,"APCS, SAP; serum amyloid P component"
106899958,K06574,"ACKR1, DARC, CD234; atypical chemokine receptor 1"
106899960,,
106899961,K23267,"APCS, SAP; serum amyloid P component"
106899959,,
106899964,K06770,MPZ; myelin protein zero
106899965,K00236,"SDHC, SDH3; succinate dehydrogenase (ubiquinone) cytochrome b560 subunit"
106899966,K07764,ADAMTS4; a disintegrin and metalloproteinase with thrombospondin motifs 4 [EC:3.4.24.82]
106899967,K03935,NDUFS2; NADH dehydrogenase (ubiquinone) Fe-S protein 2 [EC:7.1.1.2]
106899968,,
106899969,K13356,FAR; alcohol-forming fatty acyl-CoA reductase [EC:1.2.1.84]
106899970,K20899,GBP1_3_4_7; guanylate-binding protein 1/3/4/7
106899971,K20899,GBP1_3_4_7; guanylate-binding protein 1/3/4/7
106899972,K13348,MPV17; protein Mpv17
106899973,,
106899974,K11540,CAD; carbamoyl-phosphate synthase / aspartate carbamoyltransferase / dihydroorotase [EC:6.3.5.5 2.1.3.2 3.5.2.3]
106899975,K09525,DNAJC5; DnaJ homolog subfamily C member 5
106899976,K00876,"udk, UCK; uridine kinase [EC:2.7.1.48]"
106899977,K15200,GTF3C2; general transcription factor 3C polypeptide 2
106899978,K10436,"MAPRE; microtubule-associated protein, RP/EB family"
106899979,K10653,"TRIM54, MURF3; tripartite motif-containing protein 54"
106899980,K14690,"SLC30A3, ZNT3; solute carrier family 30 (zinc transporter), member 3"
106899981,,
106899982,,
106899983,K04257,OLFR; olfactory receptor
106899984,K04257,OLFR; olfactory receptor
106899985,K04257,OLFR; olfactory receptor
106899986,,
106899987,K09433,ETV3; ETS translocation variant 3
106899988,,
106899989,K07940,ARF5; ADP-ribosylation factor 5
106899990,,
106899991,K18061,"SBF1_2, MTMR5_13; myotubularin-related protein 5/13"
106899992,K00469,MIOX; inositol oxygenase [EC:1.13.99.1]
106899993,,
106899994,K11490,NCAPH2; condensin-2 complex subunit H2
106899995,K00758,"deoA, TYMP; thymidine phosphorylase [EC:2.4.2.4]"
106899996,K25636,ODF3; outer dense fiber protein 3
106899997,K19523,"CPT1B; carnitine O-palmitoyltransferase 1, muscle isoform [EC:2.3.1.21]"
106899998,K04435,"MAPK8IP2, JIP2; mitogen-activated protein kinase 8 interacting protein 2"
106899999,K15009,SHANK; SH3 and multiple ankyrin repeat domains protein
106900000,K14156,CHK; choline/ethanolamine kinase [EC:2.7.1.32 2.7.1.82]
106900001,,
106900002,K16351,"LRRC4, NGL2; netrin-G2 ligand"
106900003,K15979,SND1; staphylococcal nuclease domain-containing protein 1
106900004,K01134,ARSA; arylsulfatase A [EC:3.1.6.8]
106900005,K01317,ACR; acrosin [EC:3.4.21.10]
106900006,K15500,"PPP6R2, SAPS2; serine/threonine-protein phosphatase 6 regulatory subunit 2"
106900007,K20281,GCC1; GRIP and coiled-coil domain-containing protein 1
106900008,K06115,SPTB; spectrin beta
106900009,K21953,SHKBP1; SH3KBP1-binding protein 1
106900011,,
106900012,K16669,FAT4; protocadherin Fat 4
106900013,K16496,PCDHGB; protocadherin gamma subfamily B
106900010,K10666,RNF5; E3 ubiquitin-protein ligase RNF5 [EC:2.3.2.27]
106900014,,
106900015,K04257,OLFR; olfactory receptor
106900016,,
106900017,,
106900018,K00905,BCKDK; [3-methyl-2-oxobutanoate dehydrogenase (acetyl-transferring)] kinase [EC:2.7.11.4]
106900019,K08664,PRSS8; prostasin [EC:3.4.21.-]
106900020,,
106900021,K13098,"TLS, FUS; RNA-binding protein FUS"
106900022,K24342,NELL; protein kinase C-binding protein NELL
106900023,,
106900024,K09216,OVOL; ovo
106900025,,
106900026,K09371,LMX1; LIM homeobox transcription factor 1
106900027,K14676,"NTE, NRE; lysophospholipid hydrolase [EC:3.1.1.5]"
106900028,,
106900029,K01312,PRSS1_2_3; trypsin [EC:3.4.21.4]
106900030,,
106900031,,
106900032,K04304,"CXCR7, ACKR3, RDC1; C-X-C chemokine receptor type 7 (atypical chemokine receptor 3)"
106900033,K10340,ASB18; ankyrin repeat and SOCS box protein 18
106900034,K09321,GBX; homeobox protein GBX
106900035,K12491,"AGAP; Arf-GAP with GTPase, ANK repeat and PH domain-containing protein 1/3/4/5/6/9/11"
106900036,K24837,"IQCA, DRC11; dynein regulatory complex subunit 11"
106900039,K22499,ARMC5; armadillo repeat-containing protein 5
106900040,K24315,TGFB1I1; transforming growth factor beta-1-induced transcript 1 protein
106900041,,
106900038,K14780,"DHX37, DHR1; ATP-dependent RNA helicase DHX37/DHR1 [EC:3.6.4.13]"
106900042,,
106900043,,
106900044,,
106900045,,
106900046,K18761,"NANOS3, NOS3; protein nanos 3"
106900047,K11647,SMARCA2_4; SWI/SNF-related matrix-associated actin-dependent regulator of chromatin subfamily A member 2/4 [EC:5.6.2.-]
106900048,,
106900050,K11644,SIN3A; paired amphipathic helix protein Sin3a
106900051,K22560,COMMD4; COMM domain containing 4
106900052,K06856,IGH; immunoglobulin heavy chain
106900049,K24069,PITPNM; membrane-associated phosphatidylinositol transfer protein
106900053,K01191,MAN2C1; alpha-mannosidase [EC:3.2.1.24]
106900054,K10567,NEIL1; endonuclease VIII-like 1 [EC:3.2.2.- 4.2.99.18]
106900055,K13304,SGK3; serum/glucocorticoid-regulated kinase 3 [EC:2.7.11.1]
106900056,,
106900057,K11661,SRCAP; helicase SRCAP [EC:5.6.2.-]
106900058,,
106900059,K09554,CDC37; cell division cycle protein 37
106900060,K06751,MHC1; MHC class I antigen
106900061,K05174,"IL18RAP, ACPL, CD218b; interleukin 18 receptor accessory protein"
106900062,K05173,"IL18R1, IL1RRP, CD218a; interleukin 18 receptor 1"
106900063,K05171,"IL1RL1, ST2; interleukin 1 receptor-like 1"
106900064,K04386,"IL1R1, CD121a; interleukin 1 receptor type I"
106900065,K05172,"IL1RL2, IL1RRP2; interleukin 1 receptor-like 2"
106900066,K08529,"RARG, NR1B3; retinoic acid receptor gamma"
106900069,,
106900070,K00545,COMT; catechol O-methyltransferase [EC:2.1.1.6]
106900071,K19903,SYT3; synaptotagmin-3
106900072,,
106900073,K20346,TMED4_9_11; p24 family protein alpha
106900074,K24682,PTCHD; patched domain-containing protein
106900075,,
106900076,K23649,ABI1; abl interactor 1
106900077,,
106900078,K12504,PDSS1; decaprenyl-diphosphate synthase subunit 1 [EC:2.5.1.91]
106900079,K16309,"MASTL, GW; serine/threonine-protein kinase greatwall [EC:2.7.11.1]"
106900080,,
106900081,K08955,YME1; ATP-dependent metalloprotease [EC:3.4.24.-]
106900082,K00799,"GST, gst; glutathione S-transferase [EC:2.5.1.18]"
106900083,,
106900084,K20899,GBP1_3_4_7; guanylate-binding protein 1/3/4/7
106900085,K06752,MHC2; MHC class II antigen
106900086,K06752,MHC2; MHC class II antigen
106900087,,
106900089,K12394,AP1S1_2; AP-1 complex subunit sigma 1/2
106900090,K05124,"DDR1, NEP, CD167a; discoidin domain receptor family member 1 [EC:2.7.10.1]"
106900091,K12184,VPS28; ESCRT-I complex subunit VPS28
106900088,,
106900092,,
106900093,K12184,VPS28; ESCRT-I complex subunit VPS28
106900094,K17751,MYH6_7; myosin heavy chain 6/7
106900095,K05853,ATP2A; P-type Ca2+ transporter type 2A [EC:7.2.2.10]
106900096,K04257,OLFR; olfactory receptor
106900097,K14461,NPC1L1; Niemann-Pick C1-like protein 1
106900098,K03131,TAF6; transcription initiation factor TFIID subunit 6
106900099,K07210,"IKBKG, IKKG, NEMO; inhibitor of nuclear factor kappa-B kinase subunit gamma"
106900100,,
106900101,,
106900102,,
106900103,K04257,OLFR; olfactory receptor
106900107,,
106900108,K10771,APEX1; AP endonuclease 1 [EC:4.2.99.18]
106900109,,
106900111,K20899,GBP1_3_4_7; guanylate-binding protein 1/3/4/7
106900112,K11649,SMARCC; SWI/SNF-related matrix-associated actin-dependent regulator of chromatin subfamily C
106900113,K11981,"RNF41, NRDP1; E3 ubiquitin-protein ligase NRDP1 [EC:2.3.2.27]"
